Game #,Seed,Survey Interval,Player 1 Model,Player 1 History,Player 1 Rules,Player 1 Strategy,Player 2 Model,Player 2 History,Player 2 Rules,Player 2 Strategy,Player 3 Model,Player 3 History,Player 3 Rules,Player 3 Strategy,Player 4 Model,Player 4 History,Player 4 Rules,Player 4 Strategy,Player 5 Model,Player 5 History,Player 5 Rules,Player 5 Strategy,Player 6 Model,Player 6 History,Player 6 Rules,Player 6 Strategy
1,2625633111,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
2,2485707010,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
3,2788506561,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
4,3260290596,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
5,1223849503,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
6,354939876,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
7,783810668,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
8,192992941,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
9,965460643,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
10,1994060811,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
11,1837016955,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
12,1523901483,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
13,2064593633,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
14,3419729322,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
15,2176736909,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
16,94642831,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
17,3419729322,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
18,1523901483,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
19,3260290596,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
20,2064593633,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
21,1994060811,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
22,192992941,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
23,94642831,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
24,1837016955,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
25,354939876,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
26,2485707010,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
27,783810668,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
28,965460643,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
29,2788506561,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
30,2176736909,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
31,1223849503,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
32,2625633111,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
33,192992941,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
34,3419729322,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
35,1994060811,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
36,2485707010,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
37,1837016955,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
38,1523901483,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
39,1223849503,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
40,354939876,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
41,2788506561,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
42,2176736909,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
43,2625633111,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
44,783810668,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
45,965460643,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
46,94642831,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
47,2064593633,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
48,3260290596,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
49,2788506561,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
50,783810668,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
51,1223849503,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
52,3260290596,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
53,94642831,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
54,2176736909,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
55,965460643,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
56,2064593633,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
57,1994060811,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
58,2625633111,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
59,354939876,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
60,192992941,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
61,1837016955,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
62,1523901483,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
63,3419729322,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
64,2485707010,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
65,3260290596,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
66,3419729322,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
67,1523901483,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
68,2625633111,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
69,2176736909,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
70,2064593633,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
71,2788506561,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
72,2485707010,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
73,1223849503,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
74,354939876,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
75,192992941,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
76,783810668,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
77,1994060811,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
78,1837016955,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
79,965460643,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
80,94642831,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
81,2485707010,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
82,94642831,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
83,1523901483,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
84,3419729322,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
85,1837016955,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
86,2176736909,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
87,783810668,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
88,1994060811,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
89,192992941,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
90,2064593633,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
91,2788506561,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
92,965460643,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
93,2625633111,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
94,354939876,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
95,3260290596,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
96,1223849503,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
97,2625633111,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
98,1837016955,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
99,2485707010,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
100,1994060811,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
101,1523901483,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
102,2176736909,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
103,94642831,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
104,2788506561,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
105,1223849503,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
106,783810668,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
107,192992941,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
108,3419729322,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
109,3260290596,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
110,965460643,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
111,354939876,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
112,2064593633,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
113,2176736909,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
114,3419729322,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
115,783810668,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
116,1994060811,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
117,965460643,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
118,2485707010,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
119,2064593633,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
120,3260290596,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
121,1837016955,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
122,1223849503,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
123,192992941,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
124,2625633111,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
125,94642831,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
126,1523901483,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
127,354939876,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
128,2788506561,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
129,1994060811,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
130,1523901483,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
131,3419729322,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
132,2176736909,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
133,2625633111,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
134,965460643,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
135,1223849503,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
136,2788506561,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
137,3260290596,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
138,1837016955,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
139,354939876,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
140,783810668,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
141,192992941,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
142,2064593633,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
143,94642831,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
144,2485707010,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
145,1523901483,2,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
146,94642831,2,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
147,783810668,2,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
148,965460643,2,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
149,2625633111,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,,,,,,,,
150,354939876,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,,,,,,,,
151,1223849503,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,,,,,,,,
152,1837016955,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,,,,,,,,
153,3260290596,2,Grok,10,0,0,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,,,,,,,,
154,2485707010,2,Grok,10,1,0,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,,,,,,,,
155,3419729322,2,Grok,10,0,1,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,,,,,,,,
156,1994060811,2,Grok,10,1,1,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,,,,,,,,
157,2064593633,2,Gemini,10,0,0,Mistral,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
158,2176736909,2,Gemini,10,1,0,Mistral,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
159,192992941,2,Gemini,10,0,1,Mistral,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
160,2788506561,2,Gemini,10,1,1,Mistral,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
